description,founded,franchising_since,industry,initial_investment,name,parent_company,ranking,ranking_last_year,units
Indoor cleaning and restoration,1981,1981,Maintenance,$157K - $261K,Rainbow Restoration,Neighborly,#132,Ranked #139 last year,"[{""year"":""2013"",""us"":""290"",""fgn"":24,""com"":""0"",""total"":314},{""year"":""2014"",""us"":""289"",""fgn"":22,""com"":""0"",""total"":311},{""year"":""2015"",""us"":""285"",""fgn"":68,""com"":""0"",""total"":353},{""year"":""2016"",""us"":""298"",""fgn"":60,""com"":""0"",""total"":358},{""year"":""2017"",""us"":""282"",""fgn"":89,""com"":""0"",""total"":371},{""year"":""2018"",""us"":""302"",""fgn"":114,""com"":""0"",""total"":416},{""year"":""2019"",""us"":""298"",""fgn"":121,""com"":""0"",""total"":419},{""year"":""2020"",""us"":""294"",""fgn"":116,""com"":""0"",""total"":410},{""year"":""2021"",""us"":""313"",""fgn"":61,""com"":""0"",""total"":374},{""year"":""2022"",""us"":""325"",""fgn"":55,""com"":""0"",""total"":380}]"
"Doughnuts, kolaches, pastries, coffee",,1987,Food,$525K - $1.2M,Shipley Do-Nuts,,#131,Ranked #144 last year,"[{""year"":""2013"",""us"":""284"",""fgn"":0,""com"":""15"",""total"":299},{""year"":""2014"",""us"":""284"",""fgn"":0,""com"":""14"",""total"":298},{""year"":""2015"",""us"":""292"",""fgn"":0,""com"":""14"",""total"":306},{""year"":""2016"",""us"":""296"",""fgn"":0,""com"":""14"",""total"":310},{""year"":""2017"",""us"":""274"",""fgn"":0,""com"":""13"",""total"":287},{""year"":""2018"",""us"":""285"",""fgn"":0,""com"":""13"",""total"":298},{""year"":""2019"",""us"":""290"",""fgn"":0,""com"":""12"",""total"":302},{""year"":""2020"",""us"":""307"",""fgn"":0,""com"":""10"",""total"":317},{""year"":""2021"",""us"":""332"",""fgn"":0,""com"":""0"",""total"":332},{""year"":""2022"",""us"":""324"",""fgn"":0,""com"":""11"",""total"":335}]"
Sign products and services,1986,1987,Business Services,$120K - $316K,Signarama,Sign*A*Rama Inc.,#130,Ranked #110 last year,"[{""year"":""2013"",""us"":""395"",""fgn"":277,""com"":""0"",""total"":672},{""year"":""2014"",""us"":""392"",""fgn"":282,""com"":""0"",""total"":674},{""year"":""2015"",""us"":""388"",""fgn"":285,""com"":""0"",""total"":673},{""year"":""2016"",""us"":""390"",""fgn"":293,""com"":""0"",""total"":683},{""year"":""2017"",""us"":""390"",""fgn"":293,""com"":""0"",""total"":683},{""year"":""2018"",""us"":""394"",""fgn"":308,""com"":""0"",""total"":702},{""year"":""2019"",""us"":""401"",""fgn"":308,""com"":""0"",""total"":709},{""year"":""2020"",""us"":""408"",""fgn"":319,""com"":""0"",""total"":727},{""year"":""2021"",""us"":""404"",""fgn"":302,""com"":""0"",""total"":706},{""year"":""2022"",""us"":""402"",""fgn"":287,""com"":""0"",""total"":689},{""year"":""2023"",""us"":""387"",""fgn"":327,""com"":""0"",""total"":714}]"
"Plumbing, drain, and sewer cleaning",1968,1972,Maintenance,$81K - $191K,Mr. Rooter,Neighborly,#129,Ranked #131 last year,"[{""year"":""2013"",""us"":""214"",""fgn"":115,""com"":""0"",""total"":329},{""year"":""2014"",""us"":""204"",""fgn"":121,""com"":""0"",""total"":325},{""year"":""2015"",""us"":""203"",""fgn"":101,""com"":""0"",""total"":304},{""year"":""2016"",""us"":""190"",""fgn"":89,""com"":""0"",""total"":279},{""year"":""2017"",""us"":""191"",""fgn"":85,""com"":""0"",""total"":276},{""year"":""2018"",""us"":""197"",""fgn"":79,""com"":""0"",""total"":276},{""year"":""2019"",""us"":""200"",""fgn"":83,""com"":""0"",""total"":283},{""year"":""2020"",""us"":""207"",""fgn"":83,""com"":""0"",""total"":290},{""year"":""2021"",""us"":""214"",""fgn"":24,""com"":""0"",""total"":238},{""year"":""2022"",""us"":""218"",""fgn"":24,""com"":""3"",""total"":245}]"
Travel agencies,1994,1999,Recreation,$7K - $23K,Cruise Planners,CP Franchising LLC,#128,Ranked #135 last year,"[{""year"":""2013"",""us"":""1500"",""fgn"":0,""com"":""1"",""total"":1501},{""year"":""2014"",""us"":""1757"",""fgn"":0,""com"":""1"",""total"":1758},{""year"":""2015"",""us"":""2071"",""fgn"":0,""com"":""1"",""total"":2072},{""year"":""2016"",""us"":""2432"",""fgn"":0,""com"":""1"",""total"":2433},{""year"":""2017"",""us"":""2564"",""fgn"":0,""com"":""1"",""total"":2565},{""year"":""2018"",""us"":""2760"",""fgn"":0,""com"":""1"",""total"":2761},{""year"":""2019"",""us"":""3061"",""fgn"":0,""com"":""1"",""total"":3062},{""year"":""2020"",""us"":""3150"",""fgn"":0,""com"":""1"",""total"":3151},{""year"":""2021"",""us"":""2658"",""fgn"":0,""com"":""1"",""total"":2659},{""year"":""2022"",""us"":""2584"",""fgn"":0,""com"":""1"",""total"":2585}]"
"Residential and commercial repairs, restoration, and maintenance",1998,2001,Maintenance,$113K - $159K,Ace Handyman Services,Ace Hardware,#127,Ranked #238 last year,"[{""year"":""2013"",""us"":""107"",""fgn"":10,""com"":""0"",""total"":117},{""year"":""2014"",""us"":""102"",""fgn"":10,""com"":""0"",""total"":112},{""year"":""2015"",""us"":""120"",""fgn"":7,""com"":""0"",""total"":127},{""year"":""2016"",""us"":""126"",""fgn"":0,""com"":""0"",""total"":126},{""year"":""2017"",""us"":""129"",""fgn"":0,""com"":""0"",""total"":129},{""year"":""2018"",""us"":""125"",""fgn"":0,""com"":""5"",""total"":130},{""year"":""2019"",""us"":""115"",""fgn"":0,""com"":""7"",""total"":122},{""year"":""2020"",""us"":""118"",""fgn"":0,""com"":""7"",""total"":125},{""year"":""2021"",""us"":""215"",""fgn"":0,""com"":""7"",""total"":222},{""year"":""2022"",""us"":""313"",""fgn"":0,""com"":""7"",""total"":320}]"
"Carpet, upholstery, and floor cleaning, tile and stone care, granite countertop renewal",1977,1978,Maintenance,$69K - $205K,Chem-Dry Carpet & Upholstery Cleaning,Belfor Franchise Group,#126,Ranked #229 last year,"[{""year"":""2013"",""us"":""2039"",""fgn"":1483,""com"":""0"",""total"":3522},{""year"":""2014"",""us"":""2040"",""fgn"":1469,""com"":""0"",""total"":3509},{""year"":""2015"",""us"":""2038"",""fgn"":1477,""com"":""0"",""total"":3515},{""year"":""2016"",""us"":""2024"",""fgn"":1474,""com"":""0"",""total"":3498},{""year"":""2017"",""us"":""2027"",""fgn"":1509,""com"":""0"",""total"":3536},{""year"":""2018"",""us"":""2037"",""fgn"":1516,""com"":""0"",""total"":3553},{""year"":""2019"",""us"":""2035"",""fgn"":1541,""com"":""0"",""total"":3576},{""year"":""2020"",""us"":""1940"",""fgn"":1637,""com"":""0"",""total"":3577},{""year"":""2021"",""us"":""1757"",""fgn"":859,""com"":""0"",""total"":2616},{""year"":""2022"",""us"":""1737"",""fgn"":860,""com"":""0"",""total"":2597}]"
Real estate,1971,1972,Services (Other),$25K - $459K,Century 21 Real Estate,Anywhere Real Estate Inc.,#125,Ranked #245 last year,"[{""year"":""2017"",""us"":""2216"",""fgn"":5119,""com"":""0"",""total"":7335},{""year"":""2018"",""us"":""2231"",""fgn"":5740,""com"":""0"",""total"":7971},{""year"":""2019"",""us"":""2172"",""fgn"":7147,""com"":""0"",""total"":9319},{""year"":""2020"",""us"":""2089"",""fgn"":9346,""com"":""0"",""total"":11435},{""year"":""2021"",""us"":""1965"",""fgn"":11257,""com"":""0"",""total"":13222},{""year"":""2022"",""us"":""1902"",""fgn"":12085,""com"":""0"",""total"":13987}]"
Family restaurants,1953,1963,Food,$1M - $2.3M,Denny's,Denny's Inc.,#124,Ranked #119 last year,"[{""year"":""2013"",""us"":""1419"",""fgn"":99,""com"":""165"",""total"":1683},{""year"":""2014"",""us"":""1435"",""fgn"":106,""com"":""161"",""total"":1702},{""year"":""2015"",""us"":""1428"",""fgn"":108,""com"":""160"",""total"":1696},{""year"":""2016"",""us"":""1441"",""fgn"":117,""com"":""162"",""total"":1720},{""year"":""2017"",""us"":""1424"",""fgn"":125,""com"":""172"",""total"":1721},{""year"":""2018"",""us"":""1406"",""fgn"":129,""com"":""180"",""total"":1715},{""year"":""2019"",""us"":""1453"",""fgn"":138,""com"":""111"",""total"":1702},{""year"":""2020"",""us"":""1466"",""fgn"":147,""com"":""66"",""total"":1679},{""year"":""2021"",""us"":""1428"",""fgn"":152,""com"":""65"",""total"":1645},{""year"":""2022"",""us"":""1412"",""fgn"":154,""com"":""65"",""total"":1631}]"
Upper upscale hotels,2014,2014,Lodging,$3.7M - $140.2M,Curio Collection by Hilton,Hilton,#123,Ranked #233 last year,"[{""year"":""2014"",""us"":""5"",""fgn"":0,""com"":""0"",""total"":5},{""year"":""2015"",""us"":""13"",""fgn"":0,""com"":""1"",""total"":14},{""year"":""2016"",""us"":""18"",""fgn"":4,""com"":""1"",""total"":23},{""year"":""2017"",""us"":""28"",""fgn"":11,""com"":""0"",""total"":39},{""year"":""2018"",""us"":""34"",""fgn"":21,""com"":""0"",""total"":55},{""year"":""2019"",""us"":""43"",""fgn"":31,""com"":""0"",""total"":74},{""year"":""2020"",""us"":""50"",""fgn"":41,""com"":""0"",""total"":91},{""year"":""2021"",""us"":""57"",""fgn"":47,""com"":""0"",""total"":104},{""year"":""2022"",""us"":""69"",""fgn"":59,""com"":""0"",""total"":128}]"
Flooring,1988,1989,Home Improvement,$151K - $220K,Floor Coverings International,FirstService Brands,#122,Ranked #158 last year,"[{""year"":""2013"",""us"":""89"",""fgn"":11,""com"":""0"",""total"":100},{""year"":""2014"",""us"":""105"",""fgn"":11,""com"":""0"",""total"":116},{""year"":""2015"",""us"":""126"",""fgn"":11,""com"":""0"",""total"":137},{""year"":""2016"",""us"":""117"",""fgn"":15,""com"":""0"",""total"":132},{""year"":""2017"",""us"":""151"",""fgn"":15,""com"":""0"",""total"":166},{""year"":""2018"",""us"":""137"",""fgn"":10,""com"":""0"",""total"":147},{""year"":""2019"",""us"":""146"",""fgn"":11,""com"":""0"",""total"":157},{""year"":""2020"",""us"":""159"",""fgn"":11,""com"":""0"",""total"":170},{""year"":""2021"",""us"":""170"",""fgn"":8,""com"":""0"",""total"":178},{""year"":""2022"",""us"":""213"",""fgn"":7,""com"":""0"",""total"":220},{""year"":""2023"",""us"":""231"",""fgn"":8,""com"":""0"",""total"":239}]"
Plumbing and drain cleaning,1970,1981,Maintenance,$45K - $82K,RooterMan,Premium Service Brands,#121,Ranked #79 last year,"[{""year"":""2013"",""us"":""426"",""fgn"":50,""com"":""21"",""total"":497},{""year"":""2014"",""us"":""446"",""fgn"":45,""com"":""21"",""total"":512},{""year"":""2015"",""us"":""486"",""fgn"":47,""com"":""17"",""total"":550},{""year"":""2016"",""us"":""551"",""fgn"":58,""com"":""3"",""total"":612},{""year"":""2017"",""us"":""556"",""fgn"":57,""com"":""22"",""total"":635},{""year"":""2018"",""us"":""576"",""fgn"":63,""com"":""46"",""total"":685},{""year"":""2019"",""us"":""605"",""fgn"":61,""com"":""29"",""total"":695},{""year"":""2020"",""us"":""681"",""fgn"":51,""com"":""25"",""total"":757},{""year"":""2021"",""us"":""692"",""fgn"":51,""com"":""25"",""total"":768},{""year"":""2022"",""us"":""699"",""fgn"":50,""com"":""0"",""total"":749}]"
Home insulation and energy-efficient products,1985,2007,Home Improvement,$271K - $400K,USA Insulation,Threshold Brands,#120,Ranked #114 last year,"[{""year"":""2013"",""us"":""21"",""fgn"":0,""com"":""0"",""total"":21},{""year"":""2014"",""us"":""23"",""fgn"":0,""com"":""0"",""total"":23},{""year"":""2015"",""us"":""25"",""fgn"":0,""com"":""0"",""total"":25},{""year"":""2016"",""us"":""24"",""fgn"":0,""com"":""0"",""total"":24},{""year"":""2017"",""us"":""32"",""fgn"":0,""com"":""0"",""total"":32},{""year"":""2018"",""us"":""35"",""fgn"":0,""com"":""1"",""total"":36},{""year"":""2019"",""us"":""38"",""fgn"":0,""com"":""1"",""total"":39},{""year"":""2020"",""us"":""50"",""fgn"":0,""com"":""1"",""total"":51},{""year"":""2021"",""us"":""62"",""fgn"":0,""com"":""1"",""total"":63},{""year"":""2022"",""us"":""72"",""fgn"":0,""com"":""1"",""total"":73},{""year"":""2023"",""us"":""100"",""fgn"":0,""com"":""1"",""total"":101}]"
Residential cleaning,1979,1980,Maintenance,$94K - $144K,Merry Maids,ServiceMaster Brands,#119,Ranked #81 last year,"[{""year"":""2013"",""us"":""722"",""fgn"":709,""com"":""236"",""total"":1667},{""year"":""2014"",""us"":""723"",""fgn"":709,""com"":""235"",""total"":1667},{""year"":""2015"",""us"":""823"",""fgn"":683,""com"":""172"",""total"":1678},{""year"":""2016"",""us"":""961"",""fgn"":711,""com"":""14"",""total"":1686},{""year"":""2017"",""us"":""984"",""fgn"":683,""com"":""3"",""total"":1670},{""year"":""2018"",""us"":""998"",""fgn"":695,""com"":""3"",""total"":1696},{""year"":""2019"",""us"":""1010"",""fgn"":695,""com"":""3"",""total"":1708},{""year"":""2020"",""us"":""1010"",""fgn"":695,""com"":""3"",""total"":1708},{""year"":""2021"",""us"":""998"",""fgn"":686,""com"":""3"",""total"":1687},{""year"":""2022"",""us"":""950"",""fgn"":46,""com"":""0"",""total"":996}]"
Bakery cafes,,1988,Food,$636K - $1.7M,Paris Baguette,,#118,Ranked #129 last year,"[{""year"":""2016"",""us"":""3"",""fgn"":3300,""com"":""44"",""total"":3347},{""year"":""2017"",""us"":""9"",""fgn"":3300,""com"":""47"",""total"":3356},{""year"":""2018"",""us"":""19"",""fgn"":3300,""com"":""49"",""total"":3368},{""year"":""2019"",""us"":""33"",""fgn"":3300,""com"":""48"",""total"":3381},{""year"":""2020"",""us"":""38"",""fgn"":3635,""com"":""45"",""total"":3718},{""year"":""2021"",""us"":""63"",""fgn"":3635,""com"":""27"",""total"":3725},{""year"":""2022"",""us"":""82"",""fgn"":3640,""com"":""20"",""total"":3742}]"
"Hot dogs, ice cream",1961,1965,Food,$305K - $1.4M,Wienerschnitzel,Galardi Group Franchise Corp.,#117,Ranked #109 last year,"[{""year"":""2013"",""us"":""324"",""fgn"":0,""com"":""0"",""total"":324},{""year"":""2014"",""us"":""325"",""fgn"":0,""com"":""0"",""total"":325},{""year"":""2015"",""us"":""321"",""fgn"":1,""com"":""0"",""total"":322},{""year"":""2016"",""us"":""320"",""fgn"":2,""com"":""0"",""total"":322},{""year"":""2017"",""us"":""319"",""fgn"":1,""com"":""0"",""total"":320},{""year"":""2018"",""us"":""323"",""fgn"":0,""com"":""0"",""total"":323},{""year"":""2019"",""us"":""325"",""fgn"":0,""com"":""0"",""total"":325},{""year"":""2020"",""us"":""330"",""fgn"":0,""com"":""0"",""total"":330},{""year"":""2021"",""us"":""330"",""fgn"":0,""com"":""0"",""total"":330},{""year"":""2022"",""us"":""321"",""fgn"":0,""com"":""0"",""total"":321}]"
Chicken,1967,1972,Food,$982K - $1.7M,Golden Chick,Golden Franchising Corp.,#116,Ranked #128 last year,"[{""year"":""2013"",""us"":""110"",""fgn"":1,""com"":""3"",""total"":114},{""year"":""2014"",""us"":""123"",""fgn"":1,""com"":""6"",""total"":130},{""year"":""2015"",""us"":""125"",""fgn"":0,""com"":""6"",""total"":131},{""year"":""2016"",""us"":""148"",""fgn"":1,""com"":""10"",""total"":159},{""year"":""2017"",""us"":""154"",""fgn"":2,""com"":""14"",""total"":170},{""year"":""2018"",""us"":""170"",""fgn"":3,""com"":""13"",""total"":186},{""year"":""2019"",""us"":""169"",""fgn"":0,""com"":""12"",""total"":181},{""year"":""2020"",""us"":""177"",""fgn"":0,""com"":""7"",""total"":184},{""year"":""2021"",""us"":""199"",""fgn"":0,""com"":""6"",""total"":205},{""year"":""2022"",""us"":""198"",""fgn"":0,""com"":""11"",""total"":209}]"
"Chicken tenders, chicken wings, salads, sandwiches, wraps",2003,2011,Food,$1.3M - $4.1M,Slim Chickens,Slim Chickens,#115,Ranked #175 last year,"[{""year"":""2017"",""us"":""43"",""fgn"":1,""com"":""19"",""total"":63},{""year"":""2018"",""us"":""54"",""fgn"":2,""com"":""17"",""total"":73},{""year"":""2019"",""us"":""56"",""fgn"":6,""com"":""22"",""total"":84},{""year"":""2020"",""us"":""62"",""fgn"":9,""com"":""22"",""total"":93},{""year"":""2021"",""us"":""94"",""fgn"":16,""com"":""10"",""total"":120},{""year"":""2022"",""us"":""126"",""fgn"":26,""com"":""10"",""total"":162}]"
Real estate,1906,1982,Services (Other),$31K - $492K,Coldwell Banker Real Estate,Anywhere Real Estate Inc.,#114,Ranked #219 last year,"[{""year"":""2018"",""us"":""1629"",""fgn"":935,""com"":""707"",""total"":3271},{""year"":""2019"",""us"":""1618"",""fgn"":985,""com"":""672"",""total"":3275},{""year"":""2020"",""us"":""1601"",""fgn"":963,""com"":""634"",""total"":3198},{""year"":""2021"",""us"":""1564"",""fgn"":963,""com"":""605"",""total"":3132},{""year"":""2022"",""us"":""1543"",""fgn"":671,""com"":""588"",""total"":2802}]"
Salon studios,2004,2005,Personal-Care Businesses,$808K - $2.1M,Sola Salons,Radiance Holdings,#113,Ranked #50 last year,"[{""year"":""2013"",""us"":""104"",""fgn"":0,""com"":""11"",""total"":115},{""year"":""2014"",""us"":""176"",""fgn"":0,""com"":""11"",""total"":187},{""year"":""2015"",""us"":""261"",""fgn"":0,""com"":""12"",""total"":273},{""year"":""2016"",""us"":""276"",""fgn"":0,""com"":""12"",""total"":288},{""year"":""2017"",""us"":""337"",""fgn"":0,""com"":""12"",""total"":349},{""year"":""2018"",""us"":""392"",""fgn"":1,""com"":""13"",""total"":406},{""year"":""2019"",""us"":""432"",""fgn"":4,""com"":""25"",""total"":461},{""year"":""2020"",""us"":""492"",""fgn"":5,""com"":""27"",""total"":524},{""year"":""2021"",""us"":""541"",""fgn"":5,""com"":""30"",""total"":576},{""year"":""2022"",""us"":""564"",""fgn"":4,""com"":""60"",""total"":628}]"
Mobile locksmith and security services,1991,1994,Services (Other),$138K - $171K,Pop-A-Lock,"SystemForward America, LLC",#112,Ranked #134 last year,"[{""year"":""2013"",""us"":""364"",""fgn"":25,""com"":""0"",""total"":389},{""year"":""2014"",""us"":""407"",""fgn"":30,""com"":""3"",""total"":440},{""year"":""2015"",""us"":""482"",""fgn"":29,""com"":""3"",""total"":514},{""year"":""2016"",""us"":""498"",""fgn"":33,""com"":""3"",""total"":534},{""year"":""2017"",""us"":""518"",""fgn"":40,""com"":""3"",""total"":561},{""year"":""2018"",""us"":""533"",""fgn"":25,""com"":""4"",""total"":562},{""year"":""2019"",""us"":""546"",""fgn"":31,""com"":""4"",""total"":581},{""year"":""2020"",""us"":""553"",""fgn"":40,""com"":""7"",""total"":600},{""year"":""2021"",""us"":""568"",""fgn"":41,""com"":""7"",""total"":616},{""year"":""2022"",""us"":""571"",""fgn"":45,""com"":""7"",""total"":623}]"
"Carpet, upholstery, HVAC, and air-duct cleaning; water damage restoration",1947,1972,Maintenance,$118K - $693K,Stanley Steemer,Stanley Steemer Int'l. Inc.,#111,Ranked #106 last year,"[{""year"":""2013"",""us"":""218"",""fgn"":0,""com"":""63"",""total"":281},{""year"":""2014"",""us"":""215"",""fgn"":0,""com"":""63"",""total"":278},{""year"":""2015"",""us"":""209"",""fgn"":0,""com"":""65"",""total"":274},{""year"":""2016"",""us"":""209"",""fgn"":0,""com"":""64"",""total"":273},{""year"":""2017"",""us"":""206"",""fgn"":0,""com"":""63"",""total"":269},{""year"":""2018"",""us"":""213"",""fgn"":0,""com"":""56"",""total"":269},{""year"":""2019"",""us"":""215"",""fgn"":0,""com"":""54"",""total"":269},{""year"":""2020"",""us"":""214"",""fgn"":0,""com"":""55"",""total"":269},{""year"":""2021"",""us"":""214"",""fgn"":0,""com"":""55"",""total"":269},{""year"":""2022"",""us"":""216"",""fgn"":0,""com"":""56"",""total"":272}]"
Real estate,1983,1987,Services (Other),$182K - $336K,Keller Williams,kwx,#110,Ranked #92 last year,"[{""year"":""2013"",""us"":""655"",""fgn"":32,""com"":""0"",""total"":687},{""year"":""2014"",""us"":""658"",""fgn"":52,""com"":""0"",""total"":710},{""year"":""2015"",""us"":""678"",""fgn"":79,""com"":""0"",""total"":757},{""year"":""2016"",""us"":""707"",""fgn"":113,""com"":""0"",""total"":820},{""year"":""2017"",""us"":""741"",""fgn"":144,""com"":""0"",""total"":885},{""year"":""2018"",""us"":""780"",""fgn"":198,""com"":""0"",""total"":978},{""year"":""2019"",""us"":""794"",""fgn"":232,""com"":""0"",""total"":1026},{""year"":""2020"",""us"":""801"",""fgn"":254,""com"":""0"",""total"":1055},{""year"":""2021"",""us"":""793"",""fgn"":292,""com"":""0"",""total"":1085},{""year"":""2022"",""us"":""775"",""fgn"":316,""com"":""0"",""total"":1091}]"
Insurance restoration,1966,1970,Maintenance,$192K - $517K,Paul Davis Restoration,FS Brands Inc.,#109,Ranked #120 last year,"[{""year"":""2013"",""us"":""207"",""fgn"":0,""com"":""0"",""total"":207},{""year"":""2014"",""us"":""197"",""fgn"":63,""com"":""0"",""total"":260},{""year"":""2015"",""us"":""196"",""fgn"":64,""com"":""0"",""total"":260},{""year"":""2016"",""us"":""184"",""fgn"":60,""com"":""6"",""total"":250},{""year"":""2017"",""us"":""193"",""fgn"":57,""com"":""0"",""total"":250},{""year"":""2018"",""us"":""192"",""fgn"":45,""com"":""0"",""total"":237},{""year"":""2019"",""us"":""190"",""fgn"":58,""com"":""0"",""total"":248},{""year"":""2020"",""us"":""192"",""fgn"":59,""com"":""0"",""total"":251},{""year"":""2021"",""us"":""205"",""fgn"":60,""com"":""0"",""total"":265},{""year"":""2022"",""us"":""217"",""fgn"":60,""com"":""0"",""total"":277}]"
Burgers,1960,1962,Food,$1.3M - $3.4M,Hardee's,CKE Restaurants Holdings Inc,#108,Ranked #127 last year,"[{""year"":""2013"",""us"":""1240"",""fgn"":252,""com"":""468"",""total"":1960},{""year"":""2014"",""us"":""1264"",""fgn"":274,""com"":""457"",""total"":1995},{""year"":""2015"",""us"":""1589"",""fgn"":305,""com"":""192"",""total"":2086},{""year"":""2016"",""us"":""1699"",""fgn"":331,""com"":""116"",""total"":2146},{""year"":""2017"",""us"":""1749"",""fgn"":362,""com"":""115"",""total"":2226},{""year"":""2018"",""us"":""1739"",""fgn"":385,""com"":""118"",""total"":2242},{""year"":""2019"",""us"":""1720"",""fgn"":392,""com"":""117"",""total"":2229},{""year"":""2020"",""us"":""1578"",""fgn"":409,""com"":""207"",""total"":2194},{""year"":""2021"",""us"":""1554"",""fgn"":424,""com"":""206"",""total"":2184},{""year"":""2022"",""us"":""1533"",""fgn"":422,""com"":""198"",""total"":2153},{""year"":""2023"",""us"":""1469"",""fgn"":435,""com"":""194"",""total"":2098}]"
"Hydraulic and industrial hose maintenance, repair, and replacement",,1986,Services (Other),$219K - $899K,Pirtek,,#107,Ranked #105 last year,"[{""year"":""2013"",""us"":""45"",""fgn"":379,""com"":""3"",""total"":427},{""year"":""2014"",""us"":""45"",""fgn"":397,""com"":""3"",""total"":445},{""year"":""2015"",""us"":""52"",""fgn"":403,""com"":""3"",""total"":458},{""year"":""2016"",""us"":""55"",""fgn"":406,""com"":""3"",""total"":464},{""year"":""2017"",""us"":""70"",""fgn"":414,""com"":""4"",""total"":488},{""year"":""2018"",""us"":""74"",""fgn"":414,""com"":""4"",""total"":492},{""year"":""2019"",""us"":""78"",""fgn"":417,""com"":""7"",""total"":502},{""year"":""2020"",""us"":""88"",""fgn"":432,""com"":""6"",""total"":526},{""year"":""2021"",""us"":""100"",""fgn"":440,""com"":""7"",""total"":547},{""year"":""2022"",""us"":""114"",""fgn"":472,""com"":""1"",""total"":587}]"
Oil changes,1984,2016,Automotive,$734K - $1.3M,Take 5 Oil Change,Driven Brands Inc.,#106,Ranked #161 last year,"[{""year"":""2016"",""us"":""3"",""fgn"":0,""com"":""74"",""total"":77},{""year"":""2017"",""us"":""4"",""fgn"":0,""com"":""206"",""total"":210},{""year"":""2018"",""us"":""7"",""fgn"":0,""com"":""294"",""total"":301},{""year"":""2019"",""us"":""15"",""fgn"":0,""com"":""329"",""total"":344},{""year"":""2020"",""us"":""45"",""fgn"":31,""com"":""475"",""total"":551},{""year"":""2021"",""us"":""96"",""fgn"":32,""com"":""508"",""total"":636},{""year"":""2022"",""us"":""173"",""fgn"":31,""com"":""558"",""total"":762}]"
"Rent-to-own furniture, electronics, tires, computers, appliances",1980,2013,Retail,$363K - $570K,Rent-A-Center,Rent-A-Center Franchising Int'l. Inc.,#105,Ranked #90 last year,"[{""year"":""2013"",""us"":""92"",""fgn"":0,""com"":""3,205"",""total"":95},{""year"":""2014"",""us"":""94"",""fgn"":0,""com"":""2963"",""total"":3057},{""year"":""2015"",""us"":""150"",""fgn"":0,""com"":""2928"",""total"":3078},{""year"":""2016"",""us"":""154"",""fgn"":0,""com"":""2755"",""total"":2909},{""year"":""2017"",""us"":""150"",""fgn"":0,""com"":""2564"",""total"":2714},{""year"":""2018"",""us"":""180"",""fgn"":0,""com"":""2316"",""total"":2496},{""year"":""2019"",""us"":""273"",""fgn"":0,""com"":""2090"",""total"":2363},{""year"":""2020"",""us"":""302"",""fgn"":0,""com"":""2012"",""total"":2314},{""year"":""2021"",""us"":""398"",""fgn"":0,""com"":""1964"",""total"":2362},{""year"":""2022"",""us"":""395"",""fgn"":0,""com"":""1974"",""total"":2369}]"
Tutoring and test prep,1977,1985,Children's Businesses,$148K - $263K,Huntington Learning Center,Huntington Learning Centers Inc.,#104,Ranked #122 last year,"[{""year"":""2013"",""us"":""225"",""fgn"":0,""com"":""34"",""total"":259},{""year"":""2014"",""us"":""218"",""fgn"":0,""com"":""36"",""total"":254},{""year"":""2015"",""us"":""231"",""fgn"":0,""com"":""36"",""total"":267},{""year"":""2016"",""us"":""249"",""fgn"":0,""com"":""35"",""total"":284},{""year"":""2017"",""us"":""245"",""fgn"":0,""com"":""35"",""total"":280},{""year"":""2018"",""us"":""255"",""fgn"":0,""com"":""34"",""total"":289},{""year"":""2019"",""us"":""274"",""fgn"":0,""com"":""24"",""total"":298},{""year"":""2020"",""us"":""286"",""fgn"":0,""com"":""16"",""total"":302},{""year"":""2021"",""us"":""277"",""fgn"":0,""com"":""14"",""total"":291},{""year"":""2022"",""us"":""277"",""fgn"":0,""com"":""12"",""total"":289}]"
Auto repair and maintenance,1954,1956,Automotive,$199K - $740K,Midas,TBC Corp.,#103,Ranked #150 last year,"[{""year"":""2013"",""us"":""1224"",""fgn"":1035,""com"":""49"",""total"":2308},{""year"":""2014"",""us"":""1239"",""fgn"":1037,""com"":""6"",""total"":2282},{""year"":""2015"",""us"":""1206"",""fgn"":1026,""com"":""4"",""total"":2236},{""year"":""2016"",""us"":""1194"",""fgn"":1027,""com"":""13"",""total"":2234},{""year"":""2017"",""us"":""1080"",""fgn"":1010,""com"":""0"",""total"":2090},{""year"":""2018"",""us"":""1000"",""fgn"":1020,""com"":""0"",""total"":2020},{""year"":""2019"",""us"":""986"",""fgn"":1025,""com"":""0"",""total"":2011},{""year"":""2020"",""us"":""992"",""fgn"":1025,""com"":""0"",""total"":2017},{""year"":""2021"",""us"":""977"",""fgn"":1033,""com"":""0"",""total"":2010},{""year"":""2022"",""us"":""973"",""fgn"":968,""com"":""0"",""total"":1941}]"
